Business Name,Address,City,State,Zip Code,Full Address,Latitude,Longitude,Registered* Indoor (square feet),Registered* Outdoor (acres),Planted* Indoor (sqft),Planted* Outdoor (acres)
High End Group Affiliated Grower - Goatwell Farms LLC,3961 County Road 4,Canandaigua,NY,13408,3961 County Road 4 Canandaigua NY 13408 ,42.8985080,-77.2169640,,5.00,,
High End Group Affiliated Grower - Kasland Properties,431 Brotzman Road,Binghamton,NY,13408,431 Brotzman Road Binghamton NY 13408 ,42.2002990,-75.8922460,,5.00,,
Michael I. Casper Inc. Affiliated Grower - Earlybird Farms,806 Elmira Road,Ithaca,NY,13408,806 Elmira Road Ithaca NY 13408 ,42.4067932,-76.5455718,"3,000.00",,,
Hemped Up LLC,1174 Route 29,Schuylerville,NY,13408,1174 Route 29 Schuylerville NY 13408 ,43.1000755,-73.5817825,,3.00,,
PhytoGene Bioscience LLC Affiliated Grower - Top Bud Inc.,21 Sturr Lane,Florida,NY,13408,21 Sturr Lane Florida NY 13408 ,41.3250624,-74.3644519,,34.00,,
Dancing Turtle,565 Midline Road,Freeville,NY,13408,565 Midline Road Freeville NY 13408 ,42.4287080,-76.3422070,0.00,5.00,,
Ananda Farms,69 Wilcox Road,Fulton,NY,13408,69 Wilcox Road Fulton NY 13408 ,43.2735690,-76.3969480,"26,000.00",42.00,"10,500.00",44.00
North Forty Flower Farm,PO Box 26,Speonk,NY,13408,PO Box 26 Speonk NY 13408 ,40.8348940,-72.6919814,,10.00,,
Old Mud Creek Farm LLC Affiliated Grower - Sky Farm Inc.,1395 Boston Corners Road,Millerton,NY,13408,1395 Boston Corners Road Millerton NY 13408 ,42.0206192,-73.5106130,,2.00,,
Great Lakes Hemp LLC,PO Box 361,Westfield,NY,13408,PO Box 361 Westfield NY 13408 ,42.3222800,-79.5781027,,25.00,,
Breathable Cities LLC,121 Goodrich Avenue,Syracuse,NY,13408,121 Goodrich Avenue Syracuse NY 13408 ,43.0206383,-76.1268198,,100.00,,40.00
Plant Science Laboratories Affiliated Grower - Charles Lyndaker,8746 Lake Road,Barker,NY,13408,8746 Lake Road Barker NY 13408 ,43.3436809,-78.5411680,,54.00,,
Old Mud Creek Farm LLC Affiliated Grower - Earthborn Garden,278 Mitchell Street,Hillsdale,NY,13408,278 Mitchell Street Hillsdale NY 13408 ,42.2013170,-73.4797990,,0.00,,0.14
SUNY Cobleskill,114 Rockland Lane,Cobleskill,NY,13408,114 Rockland Lane Cobleskill NY 13408 ,42.6704238,-74.5034967,"1,200.00",0.00,515.00,0.00
Plant Science Laboratories Affiliated Grower - Be Well LLC,120 East Oak Street,Olean,NY,13408,120 East Oak Street Olean NY 13408 ,42.0944109,-78.4353820,,0.00,,
Endoca LLC,500 Technology Farm Drive,Geneva,NY,13408,500 Technology Farm Drive Geneva NY 13408 ,42.8723451,-77.0082756,,0.00,,
Grow Hemp New York LLC,17 Roberts Road,Windsor,NY,13408,17 Roberts Road Windsor NY 13408 ,42.0917180,-75.7411380,0.00,332.00,,
Plant Science Laboratories Affiliated Grower - Anchor Farms Inc.,11000 Clarence Center Road,Akron,NY,13408,11000 Clarence Center Road Akron NY 13408 ,43.0095860,-78.5766867,,0.00,,
BioSoil Farm Inc.,204 Glenville Industrial Park,Glenville,NY,13408,204 Glenville Industrial Park Glenville NY 13408 ,42.9292419,-74.0520717,"24,400.00",400.00,,
Old Mud Creek Farm LLC Affiliated Grower - Camphill Village USA,84 Camphill Village Road,Copake,NY,13408,84 Camphill Village Road Copake NY 13408 ,42.1034549,-73.5499249,,0.00,,
Hempchain Affiliated Grower - SAF Produce,16 Satterlee Hollow Road,Berlin,NY,13408,16 Satterlee Hollow Road Berlin NY 13408 ,42.7005370,-73.3753600,,0.00,,
Castetter Sustainability Group,29 Industrial Park Drive,Binghamton,NY,13408,29 Industrial Park Drive Binghamton NY 13408 ,42.1031540,-75.8324986,"75,600.00",,,
