Business Name,Address,City,State,Zip Code,Full Address,Latitude,Longitude,Registered* Indoor (square feet),Registered* Outdoor (acres),Planted* Indoor (sqft),Planted* Outdoor (acres)
Marvin Morales,3041 Presbyterian Road,Mount Morris,NY,14510,3041 Presbyterian Road Mount Morris NY 14510 ,42.4406630,-76.6504080,"1,200.00",13.00,,2.00
Hemp 4 Heroes,11 Clapp Ave,Wappingers Falls,NY,12590,11 Clapp Ave Wappingers Falls NY 12590 ,42.6278780,-77.8511539,,8.00,,2.50
Full Moon Hemp,801 Route 311,Patterson,NY,12563,801 Route 311 Patterson NY 12563 ,41.5958433,-73.9210332,"2,000.00",2.00,,1.00
Jenny's Baked at Home Company,953 Greene Ave,Brooklyn,NY,11221,953 Greene Ave Brooklyn NY 11221 ,41.5096607,-73.6167073,,20.00,,
The Hemp Farm NY LLC,4 Elm Street,Huntington,NY,11743,4 Elm Street Huntington NY 11743 ,40.6910948,-73.9292073,"93,000.00",134.00,83.00,4.50
Davandjer Farms,35 Davandjer Ln,Pine Island,NY,10973,35 Davandjer Ln Pine Island NY 10973 ,40.8701152,-73.4257282,,75.00,,
WNYWP LLC,2697 Lakeville Rd,Avon,NY,14414,2697 Lakeville Rd Avon NY 14414 ,41.2946184,-74.4901063,"86,000.00",,,
Semiotic,"151 North Main Street, Ste #404",New York City,NY,10956,"151 North Main Street, Ste #404 New York City NY 10956 ",42.8700691,-77.7122101,,15.00,,
Seedway LLC,PO Box 250 1734 Railroad Place,Hall,NY,14463,PO Box 250 1734 Railroad Place Hall NY 14463 ,40.7127753,-74.0059728,"35,000.00",,,
30 FishAndGame LLC,28 Fish and Game Rd,Hudson,NY,12534,28 Fish and Game Rd Hudson NY 12534 ,42.7979635,-77.0684087,,71.00,,3.00
Full Circle Farms,151 East Road,Fort Edward,NY,12828,151 East Road Fort Edward NY 12828 ,42.2550190,-73.7453450,,10.00,,
Easy Livin Farms,7823 Middle Rd,Rome,NY,13440,7823 Middle Rd Rome NY 13440 ,43.2809860,-73.5573940,,15.00,,
Pondview Produce,2591 State Rt 79,Trumansburg,NY,14886,2591 State Rt 79 Trumansburg NY 14886 ,43.2218420,-75.3698420,,10.00,,
Averone LLC,210 East Fayette Street,Syracuse,NY,13202,210 East Fayette Street Syracuse NY 13202 ,42.4489558,-76.6796689,,41.00,,
Hurd Farm LLC,76 Hurds Road,Clintondale,NY,12515,76 Hurds Road Clintondale NY 12515 ,43.0484553,-76.1502662,"2,700.00",18.00,,
Clear Natural LLC,11 Park Place,New York,NY,10013,11 Park Place New York NY 10013 ,41.7009149,-74.0570007,,420.00,,
S.W. Wolk Corp.,7 Liberty Street,Fairhaven,VT,5743,7 Liberty Street Fairhaven VT 5743 ,40.7473052,-73.9807265,,10.00,,
Hempire State Growers Inc./Hepworth Farms,506 South Road,Milton,NY,12547,506 South Road Milton NY 12547 ,43.5920359,-73.2642348,,715.43,,13.85
Toadflax Nursery LLC,1604 Route 9,Moreau,NY,12828,1604 Route 9 Moreau NY 12828 ,41.6429995,-73.9614211,"22,252.00",88.00,420.00,0.32
Fat Nell LLC,1601 County Route 7A,Copake,NY,12516,1601 County Route 7A Copake NY 12516 ,43.2689198,-73.6508041,"8,500.00",15.00,0.00,0.05
Thomas Strodel,527 Clifton Park Center Rd,Clifton Park,NY,12065,527 Clifton Park Center Rd Clifton Park NY 12065 ,42.1039822,-73.5569850,,13.00,,
SEW Wilcox Farm,2782 Lawson Road,Oriskany Falls,NY,13425,2782 Lawson Road Oriskany Falls NY 13425 ,42.8571302,-73.7960005,,4.00,,
Boondock Farm,2672 Waddell Road,Addison,NY,14801,2672 Waddell Road Addison NY 14801 ,42.9972558,-75.4781815,"1,440.00",10.00,,
Twin Arch Farm,200 Twin Arch Road,Rock Tavern,NY,12575,200 Twin Arch Road Rock Tavern NY 12575 ,42.1374566,-77.2903318,"2,000.00",10.00,,5.00
GenCanna Global USA Inc.,220 Water Street Apt 423,Brooklyn,NY,11201,220 Water Street Apt 423 Brooklyn NY 11201 ,41.4515400,-74.1950600,"3,200.00",10.00,,
Andrew Pirozzolo,50A Far Rockaway Rd,Pine City,NY,14871,50A Far Rockaway Rd Pine City NY 14871 ,40.7026808,-73.9852986,"4,000.00",13.00,,2.89
Blackberry Falls Farm,409 Mceachron Hill Road,Argyle,NY,12809,409 Mceachron Hill Road Argyle NY 12809 ,42.0880610,-76.8985270,"2,650.00",10.00,38.50,1.75
Connor Schaeffer,138 Maple Hill Road,Kingston,NY,12401,138 Maple Hill Road Kingston NY 12401 ,43.2417050,-73.4442730,300.00,8.00,,
Gardenworks Farm,1055 County Route 30,Salem,NY,12865,1055 County Route 30 Salem NY 12865 ,41.8644833,-74.0611312,0.00,2.00,,1.00
R. Dobbin Hill Homestead LLC,20 Dobbin Hill Road,Cambridge,NY,12816,20 Dobbin Hill Road Cambridge NY 12816 ,43.2133259,-73.3745307,,10.00,,
Breathing Web Farms,1789 East Lake Road,Skaneateles,NY,13152,1789 East Lake Road Skaneateles NY 13152 ,43.0782900,-73.3550999,"2,160.00",16.00,,0.00
Misty Bleu Farm LLC,3602 County Route 30,Salem,NY,12865,3602 County Route 30 Salem NY 12865 ,42.8555289,-76.3310974,,10.00,,3.30
Tuscarora Farms,4220 Sanderson Road,Erieville,NY,13061,4220 Sanderson Road Erieville NY 13061 ,43.2581671,-73.3759583,"3,050.00",5.00,,
JC Andresen Farming LLC,281 North Sanford Road,Sanford,NY,13754,281 North Sanford Road Sanford NY 13754 ,42.8382991,-75.7154460,,30.00,,
Camphill Village USA,84 Camphill Road,Copake,NY,12516,84 Camphill Road Copake NY 12516 ,42.1171300,-75.4691480,"12,780.00",20.01,"2,900.00",5.10
Honest Pharm Co. Inc.,19220 Pinon Park Rd,Peyton,CO,80831,19220 Pinon Park Rd Peyton CO 80831 ,42.1154790,-73.6074436,"463,643.00",,"25,350.00",
Foxhound Forge,32 Oatman Lane,Granville,NY,12832,32 Oatman Lane Granville NY 12832 ,39.0893277,-104.4699417,,144.00,,0.02
Gromor Nursery,44 C Middle Island Ave,Medford,NY,11763,44 C Middle Island Ave Medford NY 11763 ,43.3704589,-73.3475720,"33,256.00",,,
Green Grow Farms Inc.,"606 Johnson Ave, Ste 3",Bohemia,NY,11716,"606 Johnson Ave, Ste 3 Bohemia NY 11716 ",40.8265790,-73.0065748,"7,200.00",6.00,,
Rollin Hill Hemp,188 Warren Road,Fort Anne,NY,12827,188 Warren Road Fort Anne NY 12827 ,40.7784203,-73.0966056,,20.00,,
Todd Town,1821 Warners Road,Warners,NY,13164,1821 Warners Road Warners NY 13164 ,43.3890940,-73.4063490,,2.00,,0.05
C Madura Farm B Corp.,54 Rudinski Ln,Pine Island,NY,10969,54 Rudinski Ln Pine Island NY 10969 ,43.0972207,-76.3796579,"2,400.00",250.00,,54.00
Vitamin D,64 Loafers Bluff Dr,Ogdensburg,NY,13669,64 Loafers Bluff Dr Ogdensburg NY 13669 ,41.2914995,-74.4971572,,2.00,,0.80
L&C Hempfarms LLC,14 Tobey Road,Hapursville,NY,13787,14 Tobey Road Hapursville NY 13787 ,44.7548360,-75.3987350,800.00,70.00,,0.00
Kickfly's,2820 Balltown Road,Niskayuna,NY,12309,2820 Balltown Road Niskayuna NY 12309 ,42.1984800,-75.6917600,,0.50,,
Hazlitt 1852 Vinyards,5188 Basset Road,Hector,NY,14842,5188 Basset Road Hector NY 14842 ,42.8454242,-73.8897308,,45.00,,
Stop 28 Farm and Nursery Inc.,750 Alderman Road,Palmyra,NY,14522,750 Alderman Road Palmyra NY 14522 ,42.4848068,-76.8484697,"2,200.00",4.00,36.48,0.06
Kurtz Farm,1952 Cty Rt 5,Addison,NY,14801,1952 Cty Rt 5 Addison NY 14801 ,43.0374240,-77.2757970,,7.00,,
WestWind Ag LLC,141 Verbeck Avenue,Schaghticoke,NY,12154,141 Verbeck Avenue Schaghticoke NY 12154 ,42.1028514,-77.2335879,,10.00,,
Can I B U Services LLC,8895 N. Military Trail Suite 206C,Palm Beach Gardens,FL,33410,8895 N. Military Trail Suite 206C Palm Beach Gardens FL 33410 ,42.9341586,-73.6197059,"21,000.00",20.00,,
Onesta Farms,380 Lape Road,Nassau,NY,12123,380 Lape Road Nassau NY 12123 ,26.8080768,-80.1073063,,8.00,,
Dylan Barber Farms,2366 Carter Slocum Road,Marathon,NY,13803,2366 Carter Slocum Road Marathon NY 13803 ,42.5180400,-73.6521740,,5.00,,
Full Spectrum Ag LLC/Maple Avenue Tree Nursery,PO Box 1398,Ballston Lake,NY,12019,PO Box 1398 Ballston Lake NY 12019 ,42.5222976,-76.0132342,,94.00,,0.24
MTV Realty Partners LLC,213 Jones peck Road,Smyrna,NY,13464,213 Jones peck Road Smyrna NY 13464 ,42.9117377,-73.8680872,200.00,40.00,,
Sky Farm Inc.,1395 Boston Corners Road,Millerton,NY,12546,1395 Boston Corners Road Millerton NY 12546 ,42.6212454,-75.5502779,"14,000.00",8.00,"3,200.00",0.10
Blunts,2705 State Route 315,Deansboro,NY,13328,2705 State Route 315 Deansboro NY 13328 ,42.0206192,-73.5106130,"1,260.00",2.00,,
Kimberly's Greenhouses Inc.,3438 State Route 26,Glen Aubrey,NY,13777,3438 State Route 26 Glen Aubrey NY 13777 ,42.9914343,-75.4274169,"4,800.00",,"1,430.00",
Michelle Pultz,996 St Rte 79,Windsor,NY,13865,996 St Rte 79 Windsor NY 13865 ,42.2383076,-76.0130330,"7,000.00",4.00,,
Reilly's Farm,149 Clarks Chapel Road,Nassau,NY,12123,149 Clarks Chapel Road Nassau NY 12123 ,42.0564530,-75.6311960,"5,600.00",15.00,,
Upstate Valley Farm,436 Denal Way,Vestal,NY,13850,436 Denal Way Vestal NY 13850 ,42.5797613,-73.5778852,,12.00,,
Horstman Farm LLC,7 Swaggertown Road,Glenville,NY,12302,7 Swaggertown Road Glenville NY 12302 ,42.0876514,-75.9928332,,3.00,,
Northwoods Holding Group LLC,PO Box 8,Watervliet,NY,12189,PO Box 8 Watervliet NY 12189 ,42.8442550,-73.9489094,"7,300.00",3.00,,
Halseys Green Thumb of Water Mill Inc.,132 Halsey Lane,Watermill,NY,11976,132 Halsey Lane Watermill NY 11976 ,42.7164239,-73.7085479,,21.00,,
Porpiglia Farms Inc.,507 Lattintown Road,Marlboro,NY,12542,507 Lattintown Road Marlboro NY 12542 ,40.9094020,-72.3503066,,4.00,,
Denise Carr,114 Fay St,Fulton,NY,13069,114 Fay St Fulton NY 13069 ,41.6217130,-73.9911983,,2.00,,
Jesse Freund,9185 Hayward Hill Road,Hemlock,NY,14466,9185 Hayward Hill Road Hemlock NY 14466 ,43.3125947,-76.4058000,"10,500.00",33.00,,53.22
Roy Willis,964 Nanticoke Rd,Maine,NY,13802,964 Nanticoke Rd Maine NY 13802 ,42.7465330,-77.5485940,,14.00,,
Webb's LLC,22 Rock St,Newark Valley,NY,13811,22 Rock St Newark Valley NY 13811 ,42.2661720,-76.0474909,,70.00,,
Brushy View Farm,6085 County Route 100,Addison,NY,14801,6085 County Route 100 Addison NY 14801 ,42.2227937,-76.1819739,,11.00,,
ERP Farms LLC,1628 Route 211 E,Middletown,NY,10941,1628 Route 211 E Middletown NY 10941 ,42.0138630,-77.3520030,"6,300.00",41.00,,0.00
Dewdrop Farm LLC,304 Hayts Road,Ithaca,NY,14850,304 Hayts Road Ithaca NY 14850 ,41.4773349,-74.3091250,"6,000.00",106.00,,8.75
Gordon Hasbrouck Estate/Farm,641 Mt. Orange Rd,Middletown,NY,10940,641 Mt. Orange Rd Middletown NY 10940 ,42.4702770,-76.5777750,,36.00,,
New York Food Science Inc.,"169 Milbank Ave, Unit West",Greenwich,CT,6830,"169 Milbank Ave, Unit West Greenwich CT 6830 ",41.4117950,-74.5177870,,5.00,,
On Point AG LLC,298 Hardy Road,Maine,NY,13790,298 Hardy Road Maine NY 13790 ,41.0290820,-73.6215272,,4.00,,
Rooted and Wild Inc.,236 Dorland Road,Old Chatham,NY,12136,236 Dorland Road Old Chatham NY 12136 ,42.2251801,-76.0052396,,4.00,,
Oak Queens LLC,810 Queens Highway,Accord,NY,12404,810 Queens Highway Accord NY 12404 ,42.4678650,-73.5533330,300.00,10.00,,0.80
Engelke Farm and Gardens,463 Garfield Road,Troy,NY,12180,463 Garfield Road Troy NY 12180 ,41.8423514,-74.2792947,"3,000.00",3.00,,
Zuke Acres,371 Hunt Hill Road,Port Crane,NY,13833,371 Hunt Hill Road Port Crane NY 13833 ,42.7222595,-73.5986022,0.00,35.00,,
Colorado's Brand Distributing LLC,440 Sundance Trail,Webster,NY,14580,440 Sundance Trail Webster NY 14580 ,42.1835219,-75.7678999,"50,976.00",47.00,"3,500.00",
Far-A-Way Farm,315 State Route 26,Georgetown,NY,13072,315 State Route 26 Georgetown NY 13072 ,43.2342259,-77.5146761,,10.00,,
Fox Hollow Overlook Farm,1049 Old State Road,Binghamton,NY,13904,1049 Old State Road Binghamton NY 13904 ,42.7356040,-75.7390240,"2,500.00",2.00,,
Main Root LLC,PO Box 27,Copake Falls,NY,12517,PO Box 27 Copake Falls NY 12517 ,42.1450636,-75.8075212,,8.00,,
Rudolph E Stolzfus,7567 Hardscrabble Road,Addison,NY,14801,7567 Hardscrabble Road Addison NY 14801 ,42.1195347,-73.5251198,,5.00,,
Oneill Farms,2706 Chase Road,Weedsport,NY,13166,2706 Chase Road Weedsport NY 13166 ,42.1008797,-77.2620896,,48.00,,
Stagger Lee's Farms,1428 County Route 1,Oswego,NY,13126,1428 County Route 1 Oswego NY 13126 ,43.1460630,-76.5585289,"3,000.00",130.00,,
Homestead Farms & Ranch LLC,753 Tanner Road,Clifton Park,NY,12065,753 Tanner Road Clifton Park NY 12065 ,43.4880917,-76.4050236,,2.00,,63.02
JT Doran,8 Whitetail Circle,Oswego,NY,13126,8 Whitetail Circle Oswego NY 13126 ,42.8896594,-73.8291098,"1,500.00",8.00,,0.01
Herondale Farm Inc.,90 Wiltsie Bridge Road,Ancramdale,NY,12503,90 Wiltsie Bridge Road Ancramdale NY 12503 ,43.4352620,-76.5016790,,57.00,"1,500.00",2.00
Singer Farm Naturals LLC,6730 Lake Road,Appleton,NY,14008,6730 Lake Road Appleton NY 14008 ,42.0664187,-73.5693279,"7,500.00",14.01,20.38,0.67
Zizzmo LLC,1466 Cumberland Head Road,Plattsburgh,NY,12901,1466 Cumberland Head Road Plattsburgh NY 12901 ,43.3440760,-78.6578220,,2.00,"6,000.00",0.27
Grasse River Hemp,6900 CR 27,Canton,NY,13676,6900 CR 27 Canton NY 13676 ,44.7317260,-73.4129729,"1,100.00",2.00,,2.14
AgZeit LLC,303 West Main St,Endicott,NY,13760,303 West Main St Endicott NY 13760 ,44.6445884,-75.2045819,"7,000.00",,,
C&M Farms and Greenhouses LLC,321 Running Creek Rd,Valatie,NY,12184,321 Running Creek Rd Valatie NY 12184 ,42.0949242,-76.0690091,,91.00,,42.08
Happenchance Farm Inc.,396 County Route 68,Eagle Bridge,NY,12057,396 County Route 68 Eagle Bridge NY 12057 ,42.4462995,-73.7201650,,4.00,,
Mohawk Valley Partners LLC,3415 Loggerhead Way,Wesley Chapel,FL,33544,3415 Loggerhead Way Wesley Chapel FL 33544 ,42.9539491,-73.3354993,,10.00,,
Roemer Farms,250 Gedney Hill Road,Coymans Hollow,NY,12046,250 Gedney Hill Road Coymans Hollow NY 12046 ,28.2064115,-82.3693234,"7,000.00",,,
Rick DePalma,20 Fairview Ave,Ridgefield,CT,6877,20 Fairview Ave Ridgefield CT 6877 ,42.4571590,-73.8951460,"21,780.00",11.00,"6,600.00",5.00
Zook Farm,12852 State Route 38,Berkshire,NY,13736,12852 State Route 38 Berkshire NY 13736 ,41.2812951,-73.5078517,,17.00,,
Mary V Kepplers Riding Enterprises LTD dba Forrestel Farm,11380 Main Street,Medina,NY,14103,11380 Main Street Medina NY 14103 ,42.3276501,-76.1802663,"1,719.00",23.00,,0.00
A&J Ag Services,6190 Reading Road,Rock Stream,NY,14878,6190 Reading Road Rock Stream NY 14878 ,43.1892028,-78.3886221,,26.00,,
Recreational Roots LLC,60 Elston Hollow Road,Elmira,NY,14901,60 Elston Hollow Road Elmira NY 14901 ,42.4642876,-76.9369029,,1.00,,0.00
Charlie D's LLC,16475 State Highway 97,Hancock,NY,13783,16475 State Highway 97 Hancock NY 13783 ,42.0878299,-76.7173339,,16.00,,
Everest Polo Stables Inc.,"689 Fifth Ave, Fl 4",New York,NY,10022,"689 Fifth Ave, Fl 4 New York NY 10022 ",41.9401380,-75.2725690,900.00,7.00,,
Adirondack Hemp,674 Hogback Road,Crown Point,NY,12928,674 Hogback Road Crown Point NY 12928 ,40.7610107,-73.9748828,,7.00,,
Chenango Hemp,585 Brotzman Road,Binghamton,NY,13746,585 Brotzman Road Binghamton NY 13746 ,43.9349580,-73.5302770,,10.00,,
Washburn Farm,40 Washburn Farm Road,Saugerties,NY,12477,40 Washburn Farm Road Saugerties NY 12477 ,42.2104063,-75.8938266,,1.00,,
Birdsong Hemp Company LLC,38718 NY Hywy 10,Delhi,NY,13753,38718 NY Hywy 10 Delhi NY 13753 ,42.0246536,-73.9611565,,80.00,,
7008 Omphalius Road LLC,7346 Boston State Road,Hamburg,NY,14075,7346 Boston State Road Hamburg NY 14075 ,42.2757821,-74.9189743,,166.00,,
Ralph Poole DBA Bellwood Farm,4119 County Rd,Geneva,NY,14456,4119 County Rd Geneva NY 14456 ,42.6834253,-78.7675005,,6.00,,0.30
C&L Farms,2356 Baker Road,Andover,NY,14806,2356 Baker Road Andover NY 14806 ,42.8679836,-76.9855570,,136.00,,
Canopy Growth USA LLC,150 Waterpoint Dr,Springfield Center,NY,13468,150 Waterpoint Dr Springfield Center NY 13468 ,42.2105260,-77.8517860,,595.00,,
Lincoln Hill Farm,3792 State Route 247,Canandaigua,NY,14424,3792 State Route 247 Canandaigua NY 14424 ,42.8323630,-74.8900470,,2.00,,
Empire Agricultural Services LLC,78 Legion Circle,Rochester,NY,14616,78 Legion Circle Rochester NY 14616 ,42.8440523,-77.3143622,"2,000.00",28.50,,2.50
Joe Sidoti,10 Hillcrest Drive,Westtown,NY,10998,10 Hillcrest Drive Westtown NY 10998 ,43.2336989,-77.6567680,,20.00,,
Humble Hill Farm,390 Tallow Hill Rd,Spencer,NY,14883,390 Tallow Hill Rd Spencer NY 14883 ,41.3208053,-74.5634231,"2,236.00",2.00,,0.00
Robert J Gonyo,903 Scottsville-Chili-Rd,Scottsville,NY,14546,903 Scottsville-Chili-Rd Scottsville NY 14546 ,42.2468720,-76.4275250,,2.00,,
Arbuckle Hollow Farm,1399 Arbuckle Hollow Rd,Delancey,NY,13752,1399 Arbuckle Hollow Rd Delancey NY 13752 ,43.0505290,-77.7885790,,1.00,,
Nickel City Wholesale Garden Supply Inc.,1102 Ganson Ave,Corfu,NY,14036,1102 Ganson Ave Corfu NY 14036 ,42.2351410,-74.9076539,"3,200.00",22.30,12.00,
Snail Valley,9289 Gray Rd,Bloomfield,NY,14469,9289 Gray Rd Bloomfield NY 14469 ,42.9546335,-78.4072176,"1,488.00",42.00,,
EZ Acres Farm LLC,8119 Lower East Hill Road,Colden,NY,14033,8119 Lower East Hill Road Colden NY 14033 ,42.8586020,-77.5507860,"2,000.00",3.00,,0.01
French Woods Farms LLC,1826 French Woods Rd,Hancock,NY,13783,1826 French Woods Rd Hancock NY 13783 ,42.6620580,-78.6992269,,49.00,,
ABCanna LLC,54 Hunter Road,Parksville,NY,12768,54 Hunter Road Parksville NY 12768 ,41.9205260,-75.2382920,,3.00,,
Hempire Inc. - DBA Empire Farm 1830,21 Pond Hill Rd,Craryville,NY,12521,21 Pond Hill Rd Craryville NY 12521 ,41.9148446,-74.6697230,"18,000.00",500.00,"24,000.00",10.00
Rose Lamport Hemp,13691 County Highway 18,Hobart,NY,13788,13691 County Highway 18 Hobart NY 13788 ,42.1604770,-73.6008650,,14.00,,7.00
Of a Kinde,1587 Daisy Hollow Rd,Cortland,NY,13045,1587 Daisy Hollow Rd Cortland NY 13045 ,42.3714704,-74.6704311,600.00,3.00,"44,000.00",0.00
Hiddenview Farm,165 Conrad Ln,Earlton,NY,12058,165 Conrad Ln Earlton NY 12058 ,42.4844352,-76.2264115,,1.00,,
Cantiva Holdings Inc.,37 Blue Jay Way,East Hamptons,NY,11937,37 Blue Jay Way East Hamptons NY 11937 ,42.3248130,-73.9340830,,10.00,,
Northeast Hemp Company,211 Brink Rd,Candor,NY,13743,211 Brink Rd Candor NY 13743 ,40.9612383,-72.2190524,300.00,9.00,,
Partyka & Sons Farms LLC,1420 County Line Rd,Kendall,NY,14476,1420 County Line Rd Kendall NY 14476 ,42.2132090,-76.3029350,,0.00,,
Grayak LLC,3071 Irish Hill Rd,Cazenovia,NY,13035,3071 Irish Hill Rd Cazenovia NY 13035 ,43.3164401,-77.9945856,300.00,2.00,,
Shepherd Farms LLC,135 Walling Rd,Warwick,NY,10990,135 Walling Rd Warwick NY 10990 ,42.8726750,-75.8107770,,30.00,,
Grateful Valley Farm LLC,263 McCarthy Road,Lindley,NY,14858,263 McCarthy Road Lindley NY 14858 ,41.2613480,-74.4397360,"4,600.00",54.00,,14.00
A Dream Hemp Farm LLC,149 Fox Hollow Rd,Binghamton,NY,13904,149 Fox Hollow Rd Binghamton NY 13904 ,42.0112780,-77.0359930,"2,496.00",40.00,,
Jacob Fox,Box 40,Locke,NY,14456,Box 40 Locke NY 14456 ,42.1297840,-75.8101230,,5.00,,22.00
Coal Tree Farm LLC,PO Box 247,Westtown,NY,10998,PO Box 247 Westtown NY 10998 ,42.8361156,-76.9873477,,34.00,,
Mark Squared Consulting Management Group LLC,"350 East Las Olas, STE 1750",Fort Lauderdale,FL,33301,"350 East Las Olas, STE 1750 Fort Lauderdale FL 33301 ",41.3367610,-74.5398821,"174,500.00",74.00,,
Cas-Mac Farms,3323 State Route 54a,Keuka Park,NY,14478,3323 State Route 54a Keuka Park NY 14478 ,26.1187155,-80.1402422,,35.00,,
RK & PK Enterprise,8053 Sisson Highway,Eden,NY,14057,8053 Sisson Highway Eden NY 14057 ,42.5980362,-77.1260014,"5,336.00",6.00,1.00,0.00
Jamestown Hydroponics/Truth CBD LLC,211 N Main St,Jamestown,NY,14701,211 N Main St Jamestown NY 14701 ,42.6670350,-78.8517920,"1,000.00",3.00,,0.00
Close Farms,105 Lakeview Road,Mayfield,NY,12117,105 Lakeview Road Mayfield NY 12117 ,42.0953595,-79.2424099,"10,864.00",50.00,,4.05
Cortina,1 Cortina Valley Road,Elka Park,NY,12427,1 Cortina Valley Road Elka Park NY 12427 ,43.1098672,-74.2345087,,40.00,,
Barnes Greenhouses,3184 East Main Road,Dunkirk,NY,14048,3184 East Main Road Dunkirk NY 14048 ,42.1898168,-74.1202526,"85,000.00",,,
Pleasant Valley Farmacy (formerly Pleasant Lea Farm),37 Pleasant Valley Rd,Argyle,NY,12809,37 Pleasant Valley Rd Argyle NY 12809 ,42.4732677,-79.2683142,"2,500.00",12.00,"2,145.00",5.11
Stem Holdings Agri Inc.,745 Fifth Ave,New York,NY,10151,745 Fifth Ave New York NY 10151 ,43.2105299,-73.5092276,,10.00,,
The Releaf Market LLC,1778 Foote Ave Ext,Jamestown,NY,14701,1778 Foote Ave Ext Jamestown NY 14701 ,40.7631712,-73.9733933,"2,554.00",5.00,265.00,0.04
Lennys Bee Productions,395 Wittenberg Road,Bearsville,NY,12409,395 Wittenberg Road Bearsville NY 12409 ,42.0751202,-79.2253666,,1.00,,
David Barbeisch,2487 Route 7,Bainbridge,NY,13733,2487 Route 7 Bainbridge NY 13733 ,42.0258469,-74.1925037,,10.00,,
FW Battenfeld and Son,856 Route 199,Redhook,NY,12571,856 Route 199 Redhook NY 12571 ,42.3031379,-75.4630342,,13.00,,
Hemp2Harvest LLC,8860 Highway 79,Bennett,CO,80102,8860 Highway 79 Bennett CO 80102 ,41.9689917,-73.8111887,,220.00,,
Hempstead House Estate Farm Inc.,3 Island Court,Port Washington,NY,11050,3 Island Court Port Washington NY 11050 ,39.8599885,-104.4130663,"840,935.00",,,
Big M Direct LLC,PO Box 311,Pine Island,NY,10969,PO Box 311 Pine Island NY 10969 ,40.8481178,-73.7042721,,8.00,,
Kevin Mills,140 Upper Whitfield Rd,Accord,NY,12404,140 Upper Whitfield Rd Accord NY 12404 ,41.2978722,-74.4593240,,13.00,,
Snow Valley Dairy LLC,2739 State Route 11B,North Bangor,NY,12966,2739 State Route 11B North Bangor NY 12966 ,41.8185504,-74.2466131,,2.00,,2.00
Robert Walker,292 Sharptown Rd,Stuyvesant,NY,12173,292 Sharptown Rd Stuyvesant NY 12173 ,44.8019764,-74.3952240,"3,000.00",4.00,,
Dan's Dairy LLC,3231 State Route 37,Fort Covington,NY,12937,3231 State Route 37 Fort Covington NY 12937 ,42.3778472,-73.7696785,,2.00,,
Whiskey Hollow Hemp,PO Box 117,Hobart,NY,13788,PO Box 117 Hobart NY 13788 ,44.9776462,-74.4391916,,3.00,,
Joseph H Sega,362 Route 392,Dryden,NY,13053,362 Route 392 Dryden NY 13053 ,42.3714704,-74.6704311,"10,000.00",40.00,0.00,11.70
Garden State Growers,99 Locust Grove Road,Pittstown,NJ,8867,99 Locust Grove Road Pittstown NJ 8867 ,42.4872830,-76.2501841,"740,520.00",,,
Dwight L Martin,3521 Ensenore Road,Moravia,NY,13118,3521 Ensenore Road Moravia NY 13118 ,40.5574979,-74.9479116,,73.00,,
Ramborne LLC,2308 Warners Road,Van Buren,NY,13027,2308 Warners Road Van Buren NY 13027 ,42.7857910,-76.5014520,,2.00,,
Crown City Green,890 McLean Road,Cortland,NY,13045,890 McLean Road Cortland NY 13045 ,43.0928618,-76.3478249,"6,800.00",5.00,"10,584.00",
Lake Breeze Farms LLC,10515 Jordan Road,Cato,NY,13033,10515 Jordan Road Cato NY 13033 ,42.5813349,-76.2178104,"30,042.00","1,721.00",,
Seven Sages Farms LLC,"100 Allens Creek Road, Suite 100",Rochester,NY,14618,"100 Allens Creek Road, Suite 100 Rochester NY 14618 ",43.1598599,-76.5214183,,5.00,,
Capi Region Roots Inc.,274 Greenfield Avenue,Ballston Spa,NY,12020,274 Greenfield Avenue Ballston Spa NY 12020 ,43.1170450,-77.5510990,,1.00,,
Reuben B. Hertzler Farm,6270 County Road 129,Ovid,NY,14521,6270 County Road 129 Ovid NY 14521 ,43.0342816,-73.8589151,,4.00,,
Reindance Dressage Inc.,584 Johnson Hill Road,Hoosick Falls,NY,12090,584 Johnson Hill Road Hoosick Falls NY 12090 ,42.7187440,-76.7940150,"2,394.00",6.00,,0.00
Joyful Farms LLC,2549 State Highway 26,Otselic Center,NY,13072,2549 State Highway 26 Otselic Center NY 13072 ,42.9176130,-73.3382910,,6.00,,
Red Eastern Farm LLC,4477 State Route 30,Middleburgh,NY,12122,4477 State Route 30 Middleburgh NY 12122 ,42.7011855,-75.7463477,"13,800.00",16.00,,
J & A Hill LLC,7322 Antioch Road,Middle Grove,NY,12850,7322 Antioch Road Middle Grove NY 12850 ,42.6104110,-74.3424820,"3,560.00",4.00,200.00,0.00
CannaBuDs,234 Hapeman Hill Road,Red Hook,NY,12572,234 Hapeman Hill Road Red Hook NY 12572 ,43.1106398,-74.0047416,"10,060.00",2.00,"6,048.00",0.68
Mountain View Dairy,1221 County Route 10,Lewis,NY,12950,1221 County Route 10 Lewis NY 12950 ,41.9999460,-73.8183390,,"1,028.00",,
Newphorian LLC,5911 Loomis Road,Farmington,NY,14425,5911 Loomis Road Farmington NY 14425 ,44.2698530,-73.5416850,"23,000.00",5.00,,
Shima Hill Farm,1196B County Route 25,Canton,NY,13617,1196B County Route 25 Canton NY 13617 ,42.9929910,-77.3473551,,0.00,,0.00
